anbieter;gruppe;artikel;davon_deutsch;median_woerter;juengster_beitrag;aeltester_beitrag;beitraege_letzte_12_monate
Bullhorn;intl_agentur;2726;241;1227;2026-09;2007-01;121
Yena;dach_agentur;2318;296;1637;2026-09;2025-06;2271
Workable;intl_ats;1811;26;1380;2026-09;2011-12;56
Factorial;dach_hr;1366;1328;1604;2026-09;2019-01;552
SmartRecruiters;intl_ats;948;96;886;2026-09;2015-02;426
Manatal;intl_agentur;912;0;2903;;;0
Recruitee;dach_hr;776;250;2293;2026-08;2020-01;84
Recruit CRM;intl_agentur;774;3;2050;2026-09;2020-12;319
Greenhouse;intl_ats;658;26;1038;2026-09;2013-05;77
Sprad;dach_agentur;652;455;2394;2026-09;2026-08;652
onlyfy by XING;dach_hr;649;649;1122;2026-09;2025-09;649
Talention;dach_hr;618;613;754;2026-03;2018-12;3
Crelate;intl_agentur;450;0;1292;2026-09;2013-08;49
Recruiterflow;intl_agentur;391;0;1634;2026-09;2017-04;209
Loxo;intl_agentur;368;0;1039;2026-09;2024-05;146
Lever;intl_ats;316;0;1095;2026-08;2015-07;43
Breezy HR;intl_ats;295;0;1817;2026-08;2025-07;85
d.vinci;dach_hr;223;221;6259;2026-07;2014-08;22
Vincere;intl_agentur;222;0;0;2026-07;2017-09;24
Teamtailor;intl_ats;215;10;377;;;0
rexx systems;dach_hr;210;210;952;2026-05;2017-01;7
JobAdder;intl_agentur;159;0;1324;2026-08;2015-07;11
Helix (vormals concludis);dach_hr;145;24;755;;;0
Coveto;dach_agentur;132;132;778;2026-09;2019-03;106
Pinpoint;intl_ats;129;0;1256;2026-09;2020-04;87
Leonar;dach_agentur;97;80;2844;2026-09;2025-06;95
eRecruiter;dach_agentur;95;95;1625;2026-04;2018-07;5
Ashby;intl_ats;94;0;1243;2026-09;2021-07;25
softgarden;dach_hr;73;73;458;2026-07;2015-01;7
JOIN;dach_hr;60;15;1544;2026-08;2025-07;58
zvoove;dach_agentur;28;0;685;2026-08;2025-11;28
Starhunter;dach_agentur;10;10;846;;;0
GuideCom;dach_hr;7;7;856;2026-04;2021-11;2
