cluster;wettbewerb_deutsch;wettbewerb_gesamt;median_woerter_de;eigene_beitraege;luecke;top_anbieter
ATS-Grundlagen;546;2040;1224;12;ja;onlyfy:210 yena:76 sprad:64 talention:31 bullhorn:29
Vergleiche & Alternativen;485;1070;1983;8;ja;sprad:127 factorial:96 yena:65 onlyfy:57 leonar:32
KI & Automatisierung;449;2196;1753;12;ja;sprad:159 yena:79 onlyfy:46 bullhorn:45 factorial:31
DSGVO & Compliance;402;788;1759;4;ja;sprad:136 yena:95 onlyfy:90 factorial:27 rexx:12
Active Sourcing;239;1048;1715;2;ja;yena:84 sprad:60 leonar:32 talention:25 onlyfy:15
Stellenanzeige & Multiposting;230;491;864;6;ja;recruitee:79 talention:45 onlyfy:30 workable:26 dvinci:11
Interview & Auswahl;210;734;1687;2;ja;talention:43 sprad:42 dvinci:36 factorial:21 onlyfy:17
Candidate Experience;197;549;1172;5;ja;onlyfy:65 talention:30 dvinci:16 softgarden:14 bullhorn:14
Kennzahlen & Analytics;181;793;1231;7;ja;onlyfy:86 sprad:20 factorial:15 yena:14 talention:11
Arbeitsrecht;153;157;2027;1;ja;sprad:71 factorial:53 yena:9 dvinci:7 rexx:7
Recruiting-Prozess;152;756;1510;1;ja;onlyfy:31 sprad:30 yena:26 talention:19 factorial:14
Gehalt & Vergütung;123;429;765;1;ja;recruitee:73 factorial:23 onlyfy:11 sprad:5 rexx:3
Matching & Screening;112;517;1633;5;ja;sprad:32 yena:30 onlyfy:24 bullhorn:5 factorial:4
Mitarbeiterbindung;84;508;2176;0;ja;sprad:42 factorial:16 onlyfy:8 dvinci:3 bullhorn:3
Trends & Studien;83;308;644;2;ja;softgarden:32 talention:12 bullhorn:11 sprad:7 rexx:4
Branchen-Recruiting;79;295;1630;3;ja;sprad:26 factorial:11 yena:9 talention:9 onlyfy:7
New Work & Remote;75;278;1549;1;ja;factorial:22 rexx:15 erecruiter:10 sprad:6 onlyfy:5
Fachkräftemangel;74;132;1302;1;ja;yena:12 talention:12 factorial:10 bullhorn:9 softgarden:7
Agenturgeschäft & Vertrieb;73;484;2288;2;ja;sprad:25 dvinci:11 leonar:8 yena:6 factorial:5
Onboarding;67;286;1750;1;ja;sprad:17 factorial:10 onlyfy:8 yena:7 softgarden:5
Employer Branding;62;202;1109;0;ja;talention:13 factorial:13 onlyfy:7 softgarden:5 recruitee:4
Talent Pool & Nurturing;51;185;1300;2;ja;talention:15 sprad:13 onlyfy:10 yena:7 join:1
Recruiting-Marketing;47;156;1216;1;ja;talention:22 yena:4 bullhorn:4 onlyfy:3 erecruiter:3
Karriereseite;45;75;1146;2;ja;talention:18 onlyfy:8 dvinci:4 recruitee:4 sprad:2
Recruiting-CRM;43;206;1599;1;ja;yena:16 leonar:8 talention:8 sprad:7 join:1
Diversity & Inklusion;20;358;2270;1;ja;dvinci:4 sprad:3 rexx:2 onlyfy:2 factorial:2
Headhunting & Executive Search;19;374;1946;0;ja;yena:9 leonar:5 talention:2 dvinci:1 onlyfy:1
Zeitarbeit & Personaldienstleistung;11;273;1695;0;ja;yena:6 factorial:2 leonar:1 helix:1 bullhorn:1
